Evento,Estacion,Distancia,s_p
2015_04_07 21_16_22_M2_8,CO02,72.5,7.8397
2015_04_13 23_36_33_M3_7,GO03,415.2,41.1584
2015_04_29 11_34_16_M3_9,AC02,233.4,24.254
2015_05_12 05_50_13_M2_9,PB09,136.2,14.332
2015_05_14 15_08_01_M5_2,GO03,182.919,24.0
2015_06_01 04_27_52_M2_7,PB06,111.1,12.4129
2015_06_20 19_49_26_M3_1,CO02,242.6,23.8458
2015_06_24 22_23_18_M3_4,CO02,109.7,13.0662
2015_07_19 09_18_21_M3_5,CO02,96.3,11.7187
2015_08_01 10_19_06_M3_4,GO03,195.9,22.2125
2015_08_01 18_11_01_M2_6,PB06,114.6,13.0662
2015_08_06 07_31_07_M2_8,CO02,187.7,22.2125
2015_08_12 00_14_39_M5_5,CO02,81.7123,11.6
2015_08_12 17_45_32_M3_8,GO03,587.6,63.2076
2015_08_23 23_26_07_M3_4,GO03,269.0,30.5013
2015_08_24 23_56_38_M3_8,CO02,172.2,19.2726
2015_08_27 18_14_58_M3_8,PB09,419.8,43.3633
2015_09_16 23_16_09_M6_1,GO03,474.429,110.4
2015_09_16 23_38_01_M5_9,GO03,495.827,95.4
2015_09_17 01_41_05_M6_4,AC02,414.916,66.2
2015_09_17 03_34_50_M4_6,GO03,506.703,75.9
2015_09_17 03_55_15_M6_5,GO03,448.212,79.5
2015_09_17 04_02_10_M5_7,GO03,434.926,59.4
2015_09_17 06_36_34_M5_1,PB09,360.279,65.0
2015_09_17 10_12_52_M4_9,GO03,369.515,59.7
2015_09_17 10_31_26_M5_2,GO03,396.575,54.3
2015_09_17 12_09_43_M5_3,GO03,538.457,121.4
2015_09_17 12_14_34_M5_9,GO03,604.558,94.6
2015_09_17 13_32_26_M5_9,GO03,545.231,95.6
2015_09_17 16_46_21_M4_8,GO03,457.464,64.2
2015_09_17 20_24_35_M5_0,GO03,549.739,110.9
2015_09_18 09_10_44_M6_2,GO03,563.196,123.8
2015_09_19 12_52_20_M6_2,GO03,554.393,77.5
2015_09_19 13_35_54_M3_7,PB06,1097.6,49.4064
2015_09_19 22_35_30_M4_3,GO03,375.654,52.6
2015_09_21 05_39_34_M6_1,GO03,466.305,63.8
2015_09_21 19_08_03_M4_2,GO03,473.366,73.8
2015_09_22 07_13_00_M6_0,GO03,442.244,67.6
2015_09_22 07_13_00_M6_1,GO03,441.69,67.6
2015_09_27 21_04_45_M5_4,CO02,92.4648,10.5
2015_09_29 16_46_15_M4_4,CO02,107.027,17.5
2015_10_03 18_27_52_M4_0,CO02,97.6911,15.8
2015_10_08 02_54_18_M4_1,GO03,349.539,55.5
2015_10_09 22_18_19_M4_1,GO03,357.093,50.6
2015_10_15 11_03_11_M4_7,GO03,391.013,68.6
2015_10_23 14_47_58_M4_5,GO03,376.5,58.6
2015_11_06 08_44_07_M5_4,GO03,344.924,60.4
2015_11_07 07_31_43_M6_8,GO03,385.78,62.5
2015_11_07 10_53_44_M5_7,GO03,367.072,69.2
2015_11_07 11_51_29_M4_4,GO03,371.027,61.5
2015_11_11 02_46_19_M6_9,GO03,277.582,48.1
2016_02_10 13_15_01_M4_4,CO02,107.682,14.7
2016_02_12 22_32_04_M4_8,GO01,138.17,16.9
2016_02_24 17_02_04_M4_6,CO02,155.121,20.4
2016_02_26 23_34_06_M3_7,CO02,169.7,17.966
2016_05_01 01_15_43_M3_6,CO02,174.2,18.946
2016_06_03 13_46_53_M4_2,PB09,326.85,46.6
2016_06_05 05_51_11_M5_8,CO01,187.287,23.5
2016_06_05 09_30_52_M4_0,CO02,235.809,29.2
2016_07_18 02_58_50_M5_2,CO02,94.153,12.1
2016_08_10 06_43_40_M4_5,CO02,109.87,18.3
2016_10_27 20_32_55_M5_9,CO02,318.875,61.1
2017_02_12 16_21_10_M4_9,GO03,117.343,19.2
2017_03_31 18_44_38_M5_2,CO02,79.9951,9.9
2017_04_24 21_38_30_M6_9,CO02,227.039,42.7
2017_04_28 15_58_34_M5_4,CO02,246.566,39.9
2017_04_28 16_18_41_M4_6,CO02,253.06,38.0
2017_06_12 02_43_26_M5_7,CO02,83.365,12.6
2017_09_18 13_46_57_M5_9,CO02,125.719,18.0
2017_10_07 10_37_24_M4_1,CO02,166.57,22.3
2017_12_28 03_54_51_M5_5,PB14,60.1544,15.8
2018_08_01 06_19_05_M4_9,CO02,104.193,13.5
2018_09_22 13_13_58_M5_4,PB14,157.386,22.2
2018_09_23 05_32_11_M5_4,PB14,78.6489,13.5
2019_01_20 01_32_51_M6_7,CO01,140.428,39.5
2019_01_30 07_44_45_M5_6,PB14,153.147,20.5
2019_03_07 15_34_28_M5_7,PB14,582.628,61.2
2019_03_16 18_06_15_M5_2,PB14,583.975,111.5
2019_06_03 08_42_17_M5_2,GO01,138.707,18.3
2019_08_02 00_09_15_M4_2,CO02,349.536,55.5
2019_08_02 00_55_16_M5_4,CO02,348.914,60.6
2019_09_26 20_31_28_M5_4,CO02,153.865,22.3
2019_11_04 21_53_25_M6_1,CO02,95.517,11.5
2019_11_24 21_18_25_M4_7,CO02,88.2889,13.2
2019_12_03 08_46_36_M6_0,GO01,199.627,27.7
2020_01_09 16_25_56_M4_1,GO01,203.872,28.0
2020_01_28 18_16_44_M5_5,CO02,167.587,32.7
2020_02_11 13_50_02_M5_3,PB14,64.7396,7.2
2020_02_13 05_50_38_M5_0,PB09,185.831,28.8
2020_03_24 06_52_15_M5_0,CO02,114.528,22.6
2020_04_03 08_48_00_M4_8,GO03,219.042,41.1
2020_06_15 04_35_44_M4_4,CO02,144.023,17.6
2020_07_20 20_33_52_M4_5,PB14,44.2519,1.9
2020_09_01 04_09_28_M6_8,GO03,115.827,19.5
2020_09_01 04_30_02_M6_3,GO03,116.122,17.9
2020_09_01 05_29_38_M5_5,GO03,117.469,19.1
2020_09_01 10_31_52_M5_7,GO03,121.099,21.4
2020_09_03 03_23_54_M4_6,GO03,131.547,17.7
2020_09_11 07_35_57_M6_2,PB09,97.4866,14.3
2020_10_11 07_06_13_M3_8,PB06,386.6,38.7901
2020_10_25 21_17_14_M5_3,GO01,189.638,28.7
2020_10_28 14_53_10_M5_8,CO01,137.939,18.1
2020_11_18 05_31_39_M3_9,GO03,268.8,28.6639
2020_11_21 02_11_48_M5_5,CO02,74.6643,7.3
