evento,estacion,Distancia,s_p,s_p_man,P_Cote,S_Cote,SP_Cote
2014_07_08 20_42_26_M2_3,GO01,155.28,17.312599999990198,20.125,735788.8630793011,735788.8632916667,18.348400000002584
2014_04_10 15_47_24_M2_3,GO01,104.498,12.086200000005192,12.275,735699.6581115591,735699.6582567204,12.541900000003807
2014_03_18 07_27_08_M2_4,GO01,172.24,20.905800000000454,23.675,735676.3108346774,735676.3110739248,20.670999999998457
2014_05_12 09_10_21_M2_6,GO01,238.015,25.805700000004435,60.075,735731.3826196237,735731.3830228494,34.838700000000244
2014_03_24 00_42_03_M2_7,GO01,181.655,22.21239999999989,24.25,735682.0295255376,735682.0297889785,22.761200000000372
2014_06_01 12_13_01_M2_6,GO01,204.442,22.86579999999958,33.5,735751.5093884409,735751.5096814516,25.316100000003644
2014_11_27 11_15_29_M2_6,CO02,183.653,22.212500000001455,26.15,735930.4694448924,735930.4697056451,22.528999999994994
2015_04_07 21_16_22_M2_8,CO02,72.4741,7.83969999999681,10.25,736061.8865040323,736061.8866008065,8.36129999998957
2014_05_02 08_28_30_M2_7,GO01,184.517,21.55919999999969,24.5,735721.353452957,735721.3537083333,22.064500000000407
2015_01_26 01_38_24_M2_4,CO02,71.6166,9.146300000000338,9.425,735990.0684879032,735990.0685954301,9.290399999999863
2014_03_29 06_56_57_M2_7,GO01,204.975,23.519100000001345,29.475,735687.2899099463,735687.2901868279,23.922500000000582
2014_08_04 13_07_16_M2_6,GO01,105.67,12.739499999996042,12.825,735815.5469180107,735815.5470685484,13.006499999995867
2014_10_16 21_56_28_M2_6,GO01,220.495,25.72400000000198,34.85,735888.914624496,735888.914905746,24.30000000000291
2015_08_01 18_11_01_M2_6,PB06,114.577,13.066200000001118,20.7,736177.7578615592,736177.7580094086,12.774199999999837
2015_08_06 07_31_07_M2_8,CO02,187.747,22.212499999997817,21.95,736182.3136276881,736182.3138830644,22.064500000000407
2015_06_01 04_27_52_M2_7,PB06,111.134,12.412899999999354,16.525,736116.1862137096,736116.1863723118,13.703199999999924
2014_02_07 18_35_16_M2_5,GO01,194.669,24.172399999995832,24.725,735637.7748696236,735637.7751491935,24.154799999989336
2014_04_04 21_53_32_M2_4,GO01,161.611,19.2725999999966,20.225,735693.9124717743,735693.912702957,19.974199999996927
2014_04_09 00_41_47_M1_9,PB14,588.165,75.94700000000012,52.8,,,
2014_01_04 00_11_50_M5_7,PB09,193.154,32.175,31.354799999999955,735603.0085791331,735603.0089511089,32.13869999999997
2014_03_17 05_11_33_M6_4,GO01,176.796,27.675,48.599999999998545,735675.216735215,735675.2170577957,27.870999999999185
2014_03_18 14_58_44_M4_4,GO01,198.406,27.7,42.067800000004354,735676.6244879032,735676.6248024193,27.174200000001292
2014_03_18 20_17_34_M4_0,PB06,97.5359,11.45,,735676.8457110215,735676.8458373656,10.916100000002189
2014_03_18 21_26_46_M5_8,GO01,169.906,26.675,45.58060000000114,735676.8939422043,735676.894235215,25.316099999996368
2014_03_22 12_59_57_M6_2,GO01,184.387,30.475,51.96780000000581,735680.5419986559,735680.5423212366,27.87090000000171
2014_03_22 13_29_59_M5_6,GO01,179.214,30.0,37.62580000000162,735680.5628346774,735680.5631384408,26.245199999997567
2014_03_23 18_20_01_M6_2,GO01,167.406,26.925,44.94190000000526,735681.7642594086,735681.7645255376,22.993499999996857
2014_03_23 20_23_04_M5_3,GO01,175.043,39.525,57.74510000000009,735681.8496975807,735681.8499502689,21.832200000004377
2014_03_24 05_22_41_M4_0,GO01,157.291,20.75,19.741900000000896,735682.2244233871,735682.2246491935,19.50970000000234
2014_03_24 11_26_37_M5_8,GO01,164.468,26.95,42.85160000000178,735682.4771760752,735682.4774717742,25.548399999999674
2014_03_24 11_40_43_M5_7,GO01,174.399,46.2,,735682.486952957,735682.4872271506,23.690300000002026
2014_03_24 12_22_19_M4_1,PB09,197.638,25.25,51.4742000000042,735682.516063004,735682.5164107863,30.048399999999674
2014_03_24 15_45_30_M5_7,GO01,161.026,35.9,39.45479999999952,735682.6569475806,735682.6571868279,20.67090000000462
2014_03_24 19_59_42_M4_6,GO01,173.535,24.175,58.64509999999427,735682.8334852151,735682.8337540323,23.225800000000163
2014_04_01 23_46_47_M8_1,GO01,168.517,42.825,39.948300000003655,,,
2014_04_01 23_57_56_M7_0,GO01,194.337,51.2,45.870999999999185,,,
2014_04_02 02_52_26_M4_9,GO01,171.436,38.975,,,,
2014_04_02 04_46_19_M5_7,GO01,167.99,40.475,43.37419999999838,735691.1991814517,735691.1994395162,22.296800000000076
2014_04_02 16_50_29_M4_7,GO01,103.88,45.6,,735691.7019287634,735691.7021115591,15.793499999999767
2014_04_02 20_34_42_M4_5,GO01,194.526,36.75,53.709600000001956,735691.8578185483,735691.8580900537,23.45800000001327
2014_04_03 01_58_29_M6_6,GO01,157.579,23.625,23.45809999999983,735692.082625,735692.082842742,18.8128999999999
2014_04_03 02_56_04_M5_5,PB09,183.846,44.275,26.012899999999718,735692.1226680108,735692.1229099463,20.903299999999945
2014_04_03 09_08_57_M5_0,GO01,155.966,11.3,29.264499999997497,735692.3815120967,735692.3817244624,18.34830000000511
2014_04_03 13_01_37_M4_7,GO01,182.216,41.2,45.98709999999846,735692.5431518817,735692.5434099463,22.296800000003714
2014_04_03 15_08_07_M5_3,GO01,201.882,25.65,25.78059999999823,735692.6310497312,735692.6313346775,24.619299999998475
2014_04_04 03_18_37_M4_7,PB09,192.985,25.325,32.80649999999878,735693.1383331654,735693.1386174395,24.56129999999939
2014_04_04 16_02_42_M4_9,GO01,187.632,46.675,,735693.6689072581,735693.6691814517,23.690300000002026
2014_04_05 02_22_39_M5_6,GO03,579.633,93.7,81.29030000000057,735694.0999610216,735694.1008803764,79.43219999999928
2014_04_05 06_32_08_M4_8,GO01,181.866,42.9,,735694.2726975806,735694.2729583334,22.52900000000227
2014_04_05 11_58_25_M4_6,GO01,191.279,28.95,23.225800000000163,735694.4992997311,735694.4995416666,20.903200000000652
2014_04_10 00_10_32_M4_7,GO01,190.664,33.525,25.780700000000024,735699.0076895161,735699.0079959678,26.47739999999999
2014_04_11 00_01_43_M6_1,GO01,191.445,28.3,25.083799999999997,735700.0015739247,735700.0018830645,26.709699999999998
2014_04_11 12_00_51_M5_0,GO01,150.573,20.7,17.651599999997416,735700.5009018817,735700.5010981183,16.954799999999523
2014_04_14 05_56_20_M5_3,PB09,192.236,34.925,27.870899999998073,735703.2478024194,735703.2481438172,29.496800000000803
2014_04_15 16_09_35_M5_3,GO01,175.277,26.675,35.796800000003714,735704.6736680109,735704.6739233872,22.06459999999788
2014_04_15 16_21_17_M5_1,GO01,173.141,25.125,42.96779999999853,735704.6817701613,735704.6820658601,25.548399999999674
2014_04_15 17_12_20_M5_0,GO01,180.74,23.85,36.58060000000114,735704.7172379032,735704.7175120967,23.6903999999995
2014_04_20 04_23_09_M4_2,GO01,177.085,24.6,22.557999999999083,735709.1831197916,735709.1833879368,23.167699999999968
2014_04_21 07_10_38_M4_0,GO01,191.744,23.425,50.516200000001845,735710.2994126345,735710.2996814516,23.225800000000163
2014_04_24 04_56_50_M4_8,GO01,179.934,25.575,,735713.206482527,735713.206748656,22.993600000001607
2014_05_05 02_52_03_M4_8,GO01,187.973,22.7,22.76130000000012,735724.1198534947,735724.1201061829,21.832300000000032
2014_05_05 09_02_55_M4_9,GO01,195.152,29.925,48.483900000002905,735724.3773991936,735724.3776814516,24.38709999999992
2014_05_12 11_54_28_M4_7,GO01,210.083,26.875,,735731.4965577957,735731.49684543,24.851699999999255
2014_05_15 16_20_54_M4_2,CO02,218.321,34.2,34.60650000000169,735734.6816223118,735734.6819825269,31.122599999995145
2014_05_28 10_27_03_M4_5,CO02,145.122,16.425,54.87090000000171,735747.4357405915,735747.435936828,16.9548000000068
2014_06_04 17_04_26_M5_1,GO01,201.475,38.025,24.154799999996612,735754.7118131721,735754.7121115591,25.780600000005506
2014_06_07 19_10_58_M4_8,GO01,213.447,29.725,23.690300000002026,735757.7997002688,735757.7999986559,25.78070000000298
2014_06_19 00_31_20_M4_3,GO01,192.603,29.025,37.36449999999991,735769.022138609,735769.0223996977,22.558099999999968
2014_06_19 09_38_35_M5_8,GO01,173.343,26.4,83.96130000000267,735769.4021599463,735769.4024475807,24.85160000000178
2014_06_19 19_59_45_M5_3,GO01,179.729,22.675,22.064500000007683,735769.8334744624,735769.8337325269,22.29670000000624
2014_06_20 20_22_27_M5_8,GO01,187.245,36.1,28.335500000001048,735770.8492889785,735770.8496142472,28.10330000000249
2014_08_23 22_32_23_M6_4,CO02,173.777,22.95,105.3871000000072,735834.9395013441,735834.939748656,21.367800000007264
2014_10_14 09_16_43_M5_1,CO02,293.05,43.5,45.75480000000243,735886.3870981183,735886.3875793011,41.57420000000275
